"Text","Tag","Deck"
"整数を1つ読む定型は N = {{c1::int(input())}} である。","入力","03 python競技プログラム"
"同じ行の複数整数は N, M = {{c1::map(int, input().split())}} で受け取る。","入力","03 python競技プログラム"
"1行の数列は A = {{c1::list(map(int, input().split()))}} でリストにする。","入力","03 python競技プログラム"
"N行の整数は A = [int(input()) for _ in {{c1::range(N)}}] と書く。","入力","03 python競技プログラム"
"N行の文字列は S = [{{c1::input()}} for _ in range(N)] と書く。","入力","03 python競技プログラム"
"H行×W列のグリッドは grid = [{{c1::list(input())}} for _ in range(H)] と書く。","入力","03 python競技プログラム"
"1-index の頂点は u, v = map(int, input().split()) のあと {{c1::u -= 1}} と v -= 1 で 0-index に直す。","入力","03 python競技プログラム"
"行数が多く時間切れが怖いときだけ、先頭で input = {{c1::sys.stdin.readline}} に差し替える。","入力","03 python競技プログラム"
"readline は末尾に改行が残るので、文字列は {{c1::.strip()}} か [:-1] が必要である。整数なら int が改行を無視する。","入力","03 python競技プログラム"
"全部整数の一括読みは data = list(map(int, {{c1::sys.stdin.read().split()}})) である。","入力","03 python競技プログラム"
"複数個を空白区切りで出すには {{c1::print(*A)}} を使う。","出力","03 python競技プログラム"
"Yes/No は print({{c1::""Yes"" if ok else ""No""}}) と書く。ジャッジは大文字も厳密である。","出力","03 python競技プログラム"
"BFS のキューは collections の {{c1::deque}} で、append と popleft を使う。","標準ライブラリ","03 python競技プログラム"
"キーがまだなくても足すときは {{c1::defaultdict(int)}} や defaultdict(list) を使う。","標準ライブラリ","03 python競技プログラム"
"出現回数を数える箱は {{c1::Counter(A)}} である。","標準ライブラリ","03 python競技プログラム"
"小さい順に取り出す優先度付きキューは {{c1::heapq}} の heappush / heappop である。","標準ライブラリ","03 python競技プログラム"
"ソート済み配列で位置を探すには bisect の {{c1::bisect_left}} / bisect_right を使う。","標準ライブラリ","03 python競技プログラム"
"累積和の配列は S = list({{c1::accumulate(A)}}) で作る。","累積和","03 python競技プログラム"
"N が小さいときの組み合わせ全列挙は itertools の {{c1::combinations}} / permutations を使う。","標準ライブラリ","03 python競技プログラム"
"最大公約数と最小公倍数は math の {{c1::gcd}} と lcm である。","標準ライブラリ","03 python競技プログラム"
"無向グラフの隣接リストは、G[a].append(b) に加えて {{c1::G[b].append(a)}} も足す。有向ならこの行は消す。","グラフ","03 python競技プログラム"
"BFS では dist = [{{c1::-1}}] * N とし、未訪問をこの値で表してから dist[0] = 0 とする。","BFS","03 python競技プログラム"
"BFS のループ先頭では v = q.{{c1::popleft}}() で先頭を取り出す。","BFS","03 python競技プログラム"
"未訪問の隣接 nv には dist[nv] = dist[v] + 1 を入れてから q.{{c1::append(nv)}} する。","BFS","03 python競技プログラム"
"区間和を O(1) にする累積和は S = [0] + list(accumulate(A)) とし、A[l:r] の和は {{c1::S[r] - S[l]}} である。","累積和","03 python競技プログラム"
"Python の再帰上限は既定で約 1000 なので、DFS やメモ化再帰の前に sys.{{c1::setrecursionlimit(10**6)}} を呼ぶ。","再帰","03 python競技プログラム"
"メモ化再帰は functools の {{c1::lru_cache(None)}} を関数の直前に付ける。","再帰","03 python競技プログラム"
"PyPy で深い再帰をするときだけ pypyjit.set_param({{c1::""max_unroll_recursion=-1""}}) を書く。Python 提出なら不要である。","再帰","03 python競技プログラム"
"全部同じかは if len({{c1::set(A)}}) == 1 で判定する。","判定","03 python競技プログラム"
"2番目の要素で並べるときは A.sort({{c1::key=lambda x: x[1]}}) と書く。","判定","03 python競技プログラム"
"グリッドの4近傍は for di, dj in ((1, 0), (-1, 0), (0, 1), {{c1::(0, -1)}}): と回す。","グラフ","03 python競技プログラム"
"制限2秒・Python では、N=10^5 なら {{c1::O(N log N)}} まで、N=10^6 ならほぼ O(N) が目安である。","判定","03 python競技プログラム"
"提出用の最小テンプレは、処理を関数にまとめ、if __name__ == ""__main__"": の下で {{c1::main()}} を呼ぶ。","入力","03 python競技プログラム"
"lambda は名前のない def であり、コロンの右は戻り値になる式で、{{c1::return}} は書けない。","lambda","03 python競技プログラム"
"def double(x): return x * 2 を列の各要素へ適用する関数は {{c1::map}} である。","lambda","03 python競技プログラム"
"一度しか使わない短い規則は lambda、何度も使うか中身が長いなら {{c1::def}} の方が読みやすい。","lambda","03 python競技プログラム"
"map は列の各要素を変換し、元の nums は変えない。戻り値はリストではなく {{c1::イテレータ}} なので、見る前に list(...) する。","高階関数","03 python競技プログラム"
"AtCoder の1行の数列読みは、split した文字列を {{c1::int}} で変換してから list にする型である。","高階関数","03 python競技プログラム"
"filter は関数が {{c1::True}} を返す要素だけ残す。結果もイテレータなので list が付く。","高階関数","03 python競技プログラム"
"reduce は2引数の関数で左から畳み込む。標準では {{c1::functools}} にあるので、使う前に import が必要である。","高階関数","03 python競技プログラム"
"合計なら sum、最大なら max の方が普通で、reduce が生きるのは途中状態を自分で定義する畳み込み（例: 累積の {{c1::gcd}}）である。","高階関数","03 python競技プログラム"
"sorted(words, key=lambda s: len(s)) は key の戻り値で比較し、{{c1::新しいリスト}} を返す。元は壊さない。","高階関数","03 python競技プログラム"
"元のリストをその場で文字数順に並べるのは words.{{c1::sort(key=lambda s: len(s))}} である。","高階関数","03 python競技プログラム"
"各要素を2倍する map と同じ内包表記は [{{c1::x * 2}} for x in nums] である。","内包表記","03 python競技プログラム"
"list(filter(lambda x: x % 2 == 0, nums)) と同じ内包表記は [x for x in nums {{c1::if x % 2 == 0}}] である。","内包表記","03 python競技プログラム"
"単純な変換・抽出は内包表記が多く、map / filter は関数を変数として持っているときや、{{c1::map(int, ...)}} のように関数名が短いときに残る。","内包表記","03 python競技プログラム"
"reduce に相当する内包表記はなく、集約は {{c1::sum / max / min}} か、どうしてもなら for を使う。","内包表記","03 python競技プログラム"
"角括弧を外した sum(x * 2 for x in nums if x % 2 == 0) はリストを作らず流す {{c1::ジェネレータ}} である。","内包表記","03 python競技プログラム"
